monotonic_ns,controller_ts,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5
24248738685861,176992.062000,1.644292,-3.540288,0.330435,-3.639524,-1.593699,3.310003,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248740474590,176992.064000,1.644328,-3.540276,0.330399,-3.639500,-1.593711,3.310015,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248742480370,176992.066000,1.644316,-3.540288,0.330423,-3.639488,-1.593723,3.310039,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248744478005,176992.068000,1.644328,-3.540264,0.330447,-3.639536,-1.593723,3.310015,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248746449975,176992.070000,1.644328,-3.540300,0.330423,-3.639500,-1.593723,3.310027,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248748456127,176992.072000,1.644340,-3.540300,0.330411,-3.639536,-1.593723,3.310003,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248750490690,176992.074000,1.644340,-3.540276,0.330435,-3.639536,-1.593735,3.310003,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248752571924,176992.076000,1.644304,-3.540312,0.330399,-3.639512,-1.593711,3.310027,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248754483466,176992.078000,1.644352,-3.540300,0.330386,-3.639476,-1.593699,3.310027,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248756459852,176992.080000,1.644340,-3.540300,0.330399,-3.639524,-1.593699,3.310027,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248758459974,176992.082000,1.644328,-3.540276,0.330411,-3.639512,-1.593711,3.310027,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248760450644,176992.084000,1.644316,-3.540240,0.330423,-3.639488,-1.593711,3.310003,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248762446899,176992.086000,1.644316,-3.540288,0.330423,-3.639512,-1.593711,3.310039,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248764543568,176992.088000,1.644328,-3.540276,0.330399,-3.639500,-1.593699,3.310027,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248766447443,176992.090000,1.644304,-3.540288,0.330435,-3.639524,-1.593735,3.310063,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248768466412,176992.092000,1.644340,-3.540312,0.330411,-3.639512,-1.593723,3.310039,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248770463626,176992.094000,1.644316,-3.540288,0.330399,-3.639512,-1.593687,3.310039,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248772463715,176992.096000,1.644304,-3.540276,0.330399,-3.639512,-1.593759,3.309979,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248774446460,176992.098000,1.644304,-3.540264,0.330411,-3.639512,-1.593735,3.310003,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248776531896,176992.100000,1.644328,-3.540300,0.330399,-3.639512,-1.593675,3.310039,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248778474117,176992.102000,1.644328,-3.540264,0.330411,-3.639524,-1.593723,3.310015,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248780469839,176992.104000,1.644304,-3.540276,0.330399,-3.639524,-1.593711,3.309991,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248782446421,176992.106000,1.644304,-3.540312,0.330411,-3.639524,-1.593723,3.310039,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
24248784466521,176992.108000,1.644340,-3.540288,0.330399,-3.639560,-1.593687,3.310003,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
