monotonic_ns,ur_position,controller_ts,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,torque0,torque1,torque2,torque3,torque4,torque5
870636711091500,left,340803.656000,1.365005,-2.930044,-0.139266,-3.473797,-1.572981,3.344828,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.748660,4.535805,1.393235,-0.165861,-0.020709,0.030074
870636801809665,left,340803.744000,1.365017,-2.930020,-0.139243,-3.473820,-1.573029,3.344792,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.743493,4.454391,1.409672,-0.201810,-0.007686,0.044204
870636818976685,left,340803.760000,1.365005,-2.930032,-0.139279,-3.473797,-1.572994,3.344828,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.750444,4.473944,1.402875,-0.187720,-0.006646,0.029572
870636826759715,left,340803.768000,1.364993,-2.930056,-0.139291,-3.473820,-1.572981,3.344840,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.715681,4.510706,1.363865,-0.187010,-0.012228,0.048127
870636834758376,left,340803.776000,1.365005,-2.930020,-0.139291,-3.473832,-1.573029,3.344840,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.728006,4.515376,1.410601,-0.183780,-0.007285,0.047420
870636842764136,left,340803.784000,1.365005,-2.930044,-0.139279,-3.473832,-1.572969,3.344792,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.713844,4.528998,1.407775,-0.185965,-0.011355,0.032578
870636850786512,left,340803.792000,1.364993,-2.930020,-0.139279,-3.473808,-1.572994,3.344828,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.719220,4.501931,1.399269,-0.183754,-0.007193,0.026742
870636858740067,left,340803.800000,1.365005,-2.930020,-0.139279,-3.473797,-1.573017,3.344852,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.743310,4.513965,1.405231,-0.182823,-0.008107,0.025738
870636866753598,left,340803.808000,1.365005,-2.930044,-0.139266,-3.473808,-1.573017,3.344816,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.735294,4.508637,1.386780,-0.176655,-0.006534,0.036009
870636874785193,left,340803.816000,1.364981,-2.930020,-0.139255,-3.473808,-1.572981,3.344816,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.709700,4.493450,1.378106,-0.172446,0.001774,0.036592
870636882755066,left,340803.824000,1.364981,-2.930080,-0.139291,-3.473832,-1.572981,3.344792,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.725479,4.482616,1.378763,-0.180374,-0.005592,0.040272
870636890748215,left,340803.832000,1.365005,-2.930032,-0.139279,-3.473820,-1.573005,3.344840,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.755581,4.516596,1.409476,-0.180517,-0.005538,0.035696
870636898746554,left,340803.840000,1.364993,-2.930032,-0.139279,-3.473797,-1.572994,3.344828,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.756127,4.526102,1.409904,-0.164072,-0.009701,0.045643
870636906747310,left,340803.848000,1.365041,-2.930020,-0.139303,-3.473832,-1.572981,3.344816,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.703981,4.508050,1.411448,-0.179656,-0.003825,0.030929
870636914777662,left,340803.856000,1.364993,-2.930044,-0.139279,-3.473808,-1.573029,3.344804,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.760429,4.508705,1.388193,-0.191733,0.002329,0.042349
870636922750995,left,340803.864000,1.365017,-2.930020,-0.139291,-3.473797,-1.572945,3.344816,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.743062,4.498565,1.340202,-0.179995,0.008990,0.038204
870636930759183,left,340803.872000,1.364993,-2.930020,-0.139303,-3.473844,-1.572994,3.344816,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.711571,4.514583,1.385904,-0.183149,-0.003452,0.033588
870636938762045,left,340803.880000,1.364969,-2.930008,-0.139291,-3.473797,-1.573017,3.344828,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.717826,4.488669,1.406080,-0.170980,-0.001111,0.029656
870636946764769,left,340803.888000,1.365017,-2.930020,-0.139291,-3.473808,-1.572994,3.344816,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.727991,4.565465,1.380283,-0.186792,-0.012325,0.036542
870636954758507,left,340803.896000,1.364993,-2.930044,-0.139303,-3.473820,-1.572969,3.344804,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.713715,4.529012,1.411030,-0.195877,-0.018867,0.028801
870636962770355,left,340803.904000,1.365005,-2.929984,-0.139279,-3.473832,-1.573029,3.344828,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.734267,4.534129,1.375476,-0.181813,-0.008183,0.036449
870636970744975,left,340803.912000,1.365029,-2.930020,-0.139303,-3.473820,-1.572994,3.344816,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-1.733316,4.525731,1.410964,-0.173637,-0.002779,0.038807
