monotonic_ns,frame_time_ns,vector_x,vector_y
790537071264815,790537076878428,-0.48209669,0.87611802
790537104259350,790537110157404,-0.48368611,0.87524154
790537138258112,790537143428444,-0.48406139,0.87503404
790537171133311,790537176692316,-0.48564293,0.87415728
790537205196320,790537209947996,-0.48564293,0.87415728
790537237270758,790537243196252,-0.48564293,0.87415728
790537270718278,790537276436572,-0.48174262,0.87631276
790537304906145,790537309669212,-0.48225840,0.87602902
790537337811297,790537342894172,-0.48564293,0.87415728
790537371697656,790537376111452,-0.48413374,0.87499401
790537405026264,790537409320796,-0.48225840,0.87602902
790537438145121,790537442522716,-0.48331840,0.87544464
790537471131949,790537475716700,-0.48368611,0.87524154
790537505212116,790537508903260,-0.48413374,0.87499401
790537538324817,790537542081628,-0.48225840,0.87602902
790537571397386,790537575252828,-0.48225840,0.87602902
790537605430406,790537608415836,-0.48564293,0.87415728
790537638379835,790537641571420,-0.48225840,0.87602902
790537671376847,790537674719068,-0.48209669,0.87611802
790537705435234,790537707859292,-0.48225840,0.87602902
790537738436783,790537740991580,-0.48603968,0.87393674
790537771437792,790537774115932,-0.48225840,0.87602902
790537805450873,790537807233116,-0.48282705,0.87571573
790537838438709,790537840342108,-0.48449983,0.87479136
790537871429534,790537873443676,-0.48368611,0.87524154
790537905491316,790537906543452,-0.48487324,0.87458444
790537938546067,790537939894876,-0.48564293,0.87415728
790537971491125,790537973246556,-0.48368611,0.87524154
790538005541130,790538006598492,-0.48225840,0.87602902
790538038421599,790538039950428,-0.48368611,0.87524154
790538072366380,790538073302876,-0.48564293,0.87415728
790538105253184,790538106655068,-0.48564293,0.87415728
790538138217771,790538140008028,-0.48564293,0.87415728
790538172140639,790538173360732,-0.48225840,0.87602902
790538205011166,790538206713692,-0.48406139,0.87503404
790538239013606,790538240066908,-0.48564293,0.87415728
790538272082574,790538273420380,-0.48564293,0.87415728
790538305076165,790538306774108,-0.48564293,0.87415728
790538339183625,790538340127836,-0.48225840,0.87602902
790538372573337,790538373481820,-0.48413374,0.87499401
790538405977432,790538406836060,-0.48564293,0.87415728
790538438899228,790538440190556,-0.48564293,0.87415728
790538471902454,790538473545052,-0.48295802,0.87564351
790538505826254,790538506899804,-0.48368611,0.87524154
790538538721290,790538540254812,-0.48564293,0.87415728
790538572660906,790538573610076,-0.48564293,0.87415728
790538605494646,790538606965340,-0.48449983,0.87479136
790538639428731,790538640321116,-0.48564293,0.87415728
790538672318376,790538673676892,-0.48564293,0.87415728
790538706250385,790538707032924,-0.48225840,0.87602902
790538739140993,790538740388956,-0.48368611,0.87524154
790538772146848,790538773745500,-0.48209669,0.87611802
790538805842246,790538807101788,-0.48225840,0.87602902
790538839099122,790538840458844,-0.48487324,0.87458444
